TEO,TEI,TCI,GE,GC,TCO,P,COP,PLR
6.13,12.17,29.82,250.32,357.56,34.75,1150.48,5.50,1.00
5.92,10.70,30.11,246.66,357.55,34.39,806.10,6.13,0.78
5.87,9.66,30.11,250.71,361.13,33.51,648.92,6.13,0.63
5.81,10.24,29.91,252.51,363.11,33.57,760.58,6.15,0.74
6.17,8.51,30.04,253.94,358.96,31.97,453.93,5.48,0.39
5.85,10.28,29.89,247.27,364.30,33.08,753.60,6.09,0.73
6.00,8.39,29.83,247.55,359.06,31.32,453.95,5.45,0.39
5.89,8.03,30.04,250.75,357.38,32.13,429.23,5.23,0.35
5.92,11.94,30.03,255.68,357.65,34.73,1175.05,5.49,1.02
5.97,8.23,29.99,248.08,358.26,32.25,430.82,5.47,0.37
6.02,7.67,29.93,253.69,366.10,31.29,393.06,4.45,0.28
6.11,10.83,29.99,255.21,361.92,33.70,842.77,5.99,0.80
6.16,9.88,29.88,250.86,366.18,32.42,625.01,6.25,0.62
5.91,8.64,29.95,248.31,359.30,32.55,495.90,5.72,0.45
5.87,10.24,30.08,249.84,364.71,34.05,741.86,6.17,0.72
6.07,11.64,30.03,252.02,359.06,34.86,1031.51,5.70,0.93
6.06,10.97,30.08,253.34,364.16,33.83,866.80,6.00,0.82
6.01,10.56,29.81,247.32,356.87,33.95,778.78,6.06,0.75
5.86,7.61,29.89,248.72,357.80,31.43,400.28,4.55,0.29
5.84,9.26,30.05,252.35,365.93,32.87,579.62,6.24,0.57
5.82,10.03,30.18,256.37,361.93,33.20,736.04,6.13,0.71
5.97,7.85,30.01,252.26,360.17,31.52,398.88,4.99,0.31
5.90,10.43,29.91,253.77,360.58,33.98,780.65,6.16,0.76
5.84,12.08,30.08,246.82,357.05,34.99,1172.08,5.51,1.02
5.89,8.64,29.97,250.77,365.73,32.59,498.70,5.80,0.46
6.14,8.35,29.90,249.09,361.90,31.89,430.88,5.34,0.36
6.07,12.01,29.83,248.86,364.74,34.65,1114.11,5.55,0.98
5.92,11.95,29.96,256.11,361.05,35.18,1173.25,5.51,1.02
5.98,10.25,29.91,253.82,362.52,33.05,732.18,6.20,0.72
5.90,11.29,30.19,254.02,357.87,34.67,990.64,5.80,0.91
6.08,11.89,30.08,254.75,366.11,35.19,1098.79,5.64,0.98
6.01,10.82,29.94,247.57,366.20,33.35,834.78,5.98,0.79
6.15,11.92,29.99,247.27,358.10,34.30,1047.07,5.70,0.94
5.88,8.41,30.03,247.66,359.55,31.62,464.47,5.65,0.41
5.85,7.91,29.99,253.28,361.60,31.43,426.25,5.13,0.35
5.81,10.34,30.10,252.47,364.32,34.12,787.58,6.08,0.76
5.97,8.28,30.01,248.00,356.86,31.86,447.53,5.37,0.38
6.02,11.95,30.03,249.06,361.80,34.50,1113.92,5.56,0.98
6.11,10.05,29.85,255.32,366.38,33.22,689.58,6.10,0.67
6.12,10.18,29.96,253.57,357.86,33.77,693.68,6.21,0.68
5.99,11.48,30.03,249.68,356.67,34.44,1001.52,5.74,0.91
5.99,9.52,30.09,251.76,363.03,32.63,608.94,6.11,0.59
5.95,7.61,30.08,253.31,357.25,31.75,380.39,4.63,0.28
5.98,8.09,30.04,247.72,359.84,31.74,427.02,5.14,0.35
5.97,10.44,30.02,248.94,357.21,33.83,758.72,6.14,0.74
5.98,9.94,30.09,249.09,359.78,33.58,675.18,6.12,0.65
5.98,11.92,30.04,254.33,363.17,34.74,1138.40,5.56,1.00
6.12,10.84,30.14,253.16,361.30,34.05,818.30,6.11,0.79
6.15,11.45,30.03,254.41,365.42,34.85,967.83,5.83,0.89
6.09,11.05,29.82,250.88,363.18,34.14,874.88,5.96,0.82
6.05,9.48,30.02,254.75,358.83,33.05,584.45,6.25,0.58
5.98,11.94,29.94,256.24,365.92,34.57,1170.72,5.47,1.01
5.91,9.80,29.98,252.12,366.17,33.48,667.23,6.16,0.65
6.16,7.61,29.81,248.83,359.23,31.43,361.97,4.16,0.24
6.04,7.62,29.86,252.29,362.24,31.00,386.53,4.30,0.26
6.05,9.97,29.88,247.14,356.57,33.34,657.68,6.17,0.64
6.09,11.30,30.14,255.68,362.00,34.50,949.79,5.87,0.88
6.16,8.31,30.07,252.64,360.27,32.28,438.78,5.18,0.36
5.91,7.61,29.98,256.42,362.25,31.29,388.87,4.70,0.29
5.81,9.45,30.13,249.51,363.45,33.08,625.13,6.09,0.60
5.88,8.73,30.05,254.73,359.91,32.70,514.12,5.90,0.48
5.82,9.77,30.05,254.14,359.67,33.73,676.92,6.22,0.66
